x1,x2,x3,objective
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897
0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445
0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324
0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584
0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658
0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991
0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055
0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398
0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178
0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696
0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486
0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648
0.817073,0.008347,0.000165,-0.1859652214467561
0.839097,0.905904,0.398865,-0.04291593950242657
0.630332,0.996578,0.042914,-0.08187272423153684
0.597377,0.278935,0.086566,-0.06451099485172734
0.743477,0.555744,0.386184,-0.022152346367849237
0.964289,0.584739,0.425039,-0.02337866028854245
0.712902,0.550338,0.415573,-0.01077687169534097
0.930403,0.517292,0.416536,-0.018999868558654476
0.670443,0.486908,0.439236,-0.001921550109539627
0.622725,0.466667,0.459027,-0.002356363650328374
0.607703,0.38658,0.480041,-0.02190617845095345
0.468155,0.453001,0.41409,-0.010961319930133981
0.552422,0.591328,0.453193,-0.00033547824342970484
