x1,x2,objective
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79
0.5743292145098291,0.879898104984359,1.0330782375230975e-46
0.7310236309563586,0.7329998764152272,7.710875114502849e-16
0.8403534169072556,0.26473161399676703,3.341771007676023e-124
0.6501140597987644,0.6815263520602101,-0.0036060626443634764
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40
0.08250725182080587,0.403487506426324,3.6067711901420254e-81
0.8838898288181171,0.5822539743824439,6.229856468168659e-48
0.809502,0.999681,-2.541633944875778e-119
0.920894,0.739189,-4.5877494129599773e-69
0.729451,0.742031,2.025586762254698e-17
0.732014,0.135601,6.699561218496924e-125
0.749471,0.758603,1.420124205026976e-23
0.7544,0.683833,-2.7943296072020816e-14
0.748312,0.686483,-5.326062724136483e-14
0.73969,0.715661,6.861971884641806e-15
0.756737,0.722244,-1.9976662276153917e-18
0.739361,0.747071,-8.042306614436568e-21
0.499083,0.499981,3.377988256004594e-09
0.499486,0.493582,1.3823891799254822e-08
0.497551,0.494562,1.7826979766970647e-08
