x1,x2,objective
0.6657995800131589,0.12396912767534907,0.5389961189269181
0.8777909889953304,0.7786275008473289,0.42058623962798264
0.14269907423594608,0.34900513057320015,-0.06562362443733738
0.8452754286767249,0.7111202665952655,0.293992912410866
0.45464714105124415,0.2904551797740609,0.2149645101004509
0.5777128444074784,0.7719731841154063,0.023105549798190586
0.4381660616117107,0.6850182567997548,0.24461934400448035
0.34174959302885033,0.028697719822277867,0.0387490151561584
0.33864815688701766,0.21386724563864368,-0.013857618149729824
0.7026365569244406,0.9265641975455574,0.6112052157614438
0.708996,0.007696,0.6248066332055243
0.000264,0.979467,0.05831947027091612
0.999299,0.077688,0.11259327733589747
0.74929,0.953779,0.3995025158793633
0.692418,0.318903,0.648441954924359
0.694397,0.000824,0.6414203312264614
0.703186,0.4363,0.6593468556197771
0.703186,0.4363,0.6018559452545444
0.689413,0.572209,0.5831347535714531
0.698035,0.182783,0.680845850853209
0.860355,0.350661,0.713435519281081
0.862122,0.262421,0.5821181070034613
